RIFIN-A.hmm 	PfKH01_000024700 	1e-97 	315.6 	1.3e-97 	315.3	
RIFIN-A.hmm 	PfKH01_130076100 	3.4e-139 	452.0 	3.9e-139 	451.9	
RIFIN-B.hmm 	PfKH01_130076100 	3e-100 	323.7 	7.1e-53 	168.0	
STEVOR1.hmm 	PfKH01_130076100 	5.9e-14 	39.9 	4e-11 	30.6	
RIFIN-A.hmm 	PfKH01_130076200 	4.9e-152 	494.3 	5.5e-152 	494.1	
STEVOR1.hmm 	PfKH01_130076200 	6e-08 	20.2 	4.2e-07 	17.4	
RIFIN-B.hmm 	PfKH01_130076200 	9.7e-105 	338.5 	1.9e-59 	189.6	
RIFIN-A.hmm 	PfKH01_130076300 	1.6e-15 	45.4 	1.6e-11 	32.2	
STEVOR1.hmm 	PfKH01_130076300 	5.4e-160 	519.5 	6e-160 	519.3	
RIFIN-B.hmm 	PfKH01_130076300 	7.5e-16 	46.4 	2.1e-12 	35.0	
STEVOR1.hmm 	PfKH01_130076400 	1.9e-17 	51.4 	3.2e-13 	37.5	
RIFIN-B.hmm 	PfKH01_130076400 	4.4e-107 	346.1 	2.6e-60 	192.5	
RIFIN-A.hmm 	PfKH01_130076400 	6.4e-142 	461.0 	7.2e-142 	460.8	
RIFIN-A.hmm 	PfKH01_130076500 	1.2e-149 	486.4 	1.4e-149 	486.2	
RIFIN-B.hmm 	PfKH01_130076500 	2.2e-103 	334.0 	2.9e-60 	192.3	
STEVOR1.hmm 	PfKH01_130076500 	5.3e-11 	30.2 	1.2e-07 	19.2	
RIFIN-A.hmm 	PfKH01_130076600 	2.5e-95 	307.8 	1.6e-58 	186.8	
RIFIN-B.hmm 	PfKH01_130076600 	5.9e-136 	441.0 	6.8e-136 	440.8	
STEVOR1.hmm 	PfKH01_130076600 	7.7e-14 	39.5 	4.2e-09 	24.0	
RIFIN-B.hmm 	PfKH01_130076700 	1.4e-100 	324.8 	1.3e-58 	186.8	
STEVOR1.hmm 	PfKH01_130076700 	5.5e-11 	30.1 	3.9e-08 	20.8	
RIFIN-A.hmm 	PfKH01_130076700 	9.6e-150 	486.7 	1.1e-149 	486.6	
RIFIN-B.hmm 	PfKH01_140005500 	1.2e-115 	374.3 	6.2e-67 	214.2	
RIFIN-A.hmm 	PfKH01_140005500 	1.9e-155 	505.5 	2.2e-155 	505.3	
STEVOR1.hmm 	PfKH01_140005500 	3.4e-11 	30.8 	1.8e-08 	21.9	
STEVOR1.hmm 	PfKH01_140005600 	1.1e-10 	29.2 	9.7e-10 	26.1	
RIFIN-B.hmm 	PfKH01_140005600 	1.5e-112 	364.1 	4.5e-64 	204.8	
RIFIN-A.hmm 	PfKH01_140005600 	8.1e-147 	477.1 	9.2e-147 	476.9	
STEVOR1.hmm 	PfKH01_140005700 	2.7e-10 	27.9 	1.5e-07 	18.8	
RIFIN-B.hmm 	PfKH01_140005700 	5.6e-85 	273.5 	2.4e-51 	163.0	
RIFIN-A.hmm 	PfKH01_140005700 	7.2e-134 	434.5 	8.6e-134 	434.3	
RIFIN-A.hmm 	PfKH01_140005800 	1.4e-149 	486.2 	1.6e-149 	486.0	
RIFIN-B.hmm 	PfKH01_140005800 	1e-100 	325.2 	3.6e-56 	178.8	
STEVOR1.hmm 	PfKH01_140005800 	4.6e-14 	40.3 	6.2e-10 	26.7	
RIFIN-B.hmm 	PfKH01_140005900 	1.2e-143 	466.3 	1.3e-143 	466.2	
STEVOR1.hmm 	PfKH01_140005900 	2e-11 	31.6 	8e-08 	19.8	
RIFIN-A.hmm 	PfKH01_140005900 	8.5e-106 	342.2 	1.3e-60 	193.6	
RIFIN-A.hmm 	PfKH01_140006100 	1.2e-128 	417.4 	2.4e-128 	416.4	
RIFIN-B.hmm 	PfKH01_140006100 	1.7e-84 	271.9 	1e-48 	154.3	
STEVOR1.hmm 	PfKH01_140006100 	2.2e-14 	41.3 	8.9e-10 	26.2	
STEVOR1.hmm 	PfKH01_140006200 	1.8e-14 	41.6 	3.6e-10 	27.5	
RIFIN-B.hmm 	PfKH01_140006200 	6.1e-87 	280.0 	1e-48 	154.4	
RIFIN-A.hmm 	PfKH01_140006200 	8.9e-128 	414.5 	2.7e-127 	412.9	
RIFIN-B.hmm 	PfKH01_140006300 	1.1e-12 	36.0 	4e-11 	30.8	
RIFIN-A.hmm 	PfKH01_140006300 	3.4e-12 	34.4 	9.8e-11 	29.6	
STEVOR1.hmm 	PfKH01_140006300 	3.5e-164 	533.2 	4e-164 	533.1	
RIFIN-A.hmm 	PfKH01_140084600 	3.1e-153 	498.2 	3.5e-153 	498.0	
RIFIN-B.hmm 	PfKH01_140084600 	5.2e-101 	326.2 	3.4e-55 	175.6	
STEVOR1.hmm 	PfKH01_140084600 	5e-13 	36.8 	1.4e-09 	25.6	
STEVOR1.hmm 	PfKH01_140084700 	2.5e-12 	34.5 	5.9e-09 	23.5	
RIFIN-B.hmm 	PfKH01_140084700 	3e-136 	442.0 	3.5e-136 	441.8	
RIFIN-A.hmm 	PfKH01_140084700 	8.6e-97 	312.6 	3.8e-60 	192.1	
RIFIN-A.hmm 	PfKH01_140084900 	2.1e-153 	498.8 	2.4e-153 	498.6	
RIFIN-B.hmm 	PfKH01_140084900 	5.7e-110 	355.6 	1.5e-65 	209.7	
STEVOR1.hmm 	PfKH01_140084900 	6.8e-14 	39.7 	4.9e-11 	30.3	
RIFIN-A.hmm 	PfKH01_140085100 	2.8e-97 	314.2 	8.8e-55 	174.5	
STEVOR1.hmm 	PfKH01_140085100 	4.2e-11 	30.5 	3.9e-08 	20.8	
RIFIN-B.hmm 	PfKH01_140085100 	5.4e-135 	437.9 	6e-135 	437.7	
RIFIN-A.hmm 	PfKH01_140085200 	1e-143 	466.9 	1.1e-143 	466.8	
STEVOR1.hmm 	PfKH01_140085200 	4.7e-15 	43.5 	1.5e-10 	28.8	
RIFIN-B.hmm 	PfKH01_140085200 	7.9e-105 	338.7 	8e-55 	174.4	
STEVOR1.hmm 	PfKH01_140085300 	1.2e-11 	32.3 	3.3e-08 	21.0	
RIFIN-B.hmm 	PfKH01_140085300 	1.8e-93 	301.4 	1.5e-53 	170.2	
RIFIN-A.hmm 	PfKH01_140085300 	5.2e-140 	454.7 	6e-140 	454.5	
