RIFIN-A.hmm 	PfGN01_000022800 	1.6e-98 	318.3 	1.5e-59 	190.2	
RIFIN-A.hmm 	PfGN01_130078800 	8.7e-13 	36.4 	2.1e-10 	28.5	
STEVOR1.hmm 	PfGN01_130079000 	2.1e-15 	44.6 	1.5e-09 	25.5	
RIFIN-B.hmm 	PfGN01_130079000 	3e-89 	287.5 	9.2e-50 	157.8	
RIFIN-A.hmm 	PfGN01_130079000 	4.5e-136 	441.8 	1e-135 	440.6	
RIFIN-A.hmm 	PfGN01_130079100 	1.5e-148 	482.8 	1.7e-148 	482.7	
RIFIN-B.hmm 	PfGN01_130079100 	2.5e-103 	333.8 	2.7e-58 	185.8	
STEVOR1.hmm 	PfGN01_130079100 	3.1e-14 	40.8 	1.8e-09 	25.2	
RIFIN-B.hmm 	PfGN01_130079300 	3.7e-105 	339.8 	3.1e-61 	195.5	
STEVOR1.hmm 	PfGN01_130079300 	4.2e-11 	30.5 	1.3e-09 	25.6	
RIFIN-A.hmm 	PfGN01_130079300 	4.8e-149 	484.4 	5.4e-149 	484.3	
RIFIN-B.hmm 	PfGN01_140005000 	1.1e-92 	298.8 	1.2e-48 	154.1	
RIFIN-A.hmm 	PfGN01_140005000 	3e-140 	455.5 	3.4e-140 	455.3	
STEVOR1.hmm 	PfGN01_140005000 	7.6e-13 	36.3 	9e-11 	29.4	
RIFIN-A.hmm 	PfGN01_140005200 	2.3e-137 	446.0 	2.6e-137 	445.9	
STEVOR1.hmm 	PfGN01_140005200 	4e-15 	43.7 	3.5e-13 	37.4	
RIFIN-B.hmm 	PfGN01_140005200 	8.7e-95 	305.8 	4.5e-52 	165.4	
STEVOR1.hmm 	PfGN01_140005300 	1.7e-16 	48.2 	1.6e-12 	35.2	
RIFIN-B.hmm 	PfGN01_140005300 	4.7e-99 	319.8 	7.3e-56 	177.8	
RIFIN-A.hmm 	PfGN01_140005300 	5.7e-136 	441.4 	6.4e-136 	441.3	
STEVOR1.hmm 	PfGN01_140005400 	1.9e-12 	35.0 	6.8e-08 	20.0	
RIFIN-B.hmm 	PfGN01_140005400 	1e-101 	328.5 	1.1e-55 	177.3	
RIFIN-A.hmm 	PfGN01_140005400 	6.9e-147 	477.3 	7.7e-147 	477.2	
RIFIN-B.hmm 	PfGN01_140005500 	1.8e-112 	363.9 	5e-60 	191.5	
STEVOR1.hmm 	PfGN01_140005500 	2.8e-15 	44.2 	3.1e-12 	34.2	
RIFIN-A.hmm 	PfGN01_140005500 	3.3e-149 	485.0 	3.7e-149 	484.8	
RIFIN-B.hmm 	PfGN01_140005600 	1.3e-113 	367.6 	1.4e-113 	367.5	
STEVOR1.hmm 	PfGN01_140005600 	2.6e-16 	47.6 	4.2e-11 	30.5	
RIFIN-A.hmm 	PfGN01_140005600 	2.9e-94 	304.3 	7e-56 	178.1	
RIFIN-A.hmm 	PfGN01_140005700 	1.1e-92 	299.1 	6e-57 	181.6	
RIFIN-B.hmm 	PfGN01_140005700 	1.2e-130 	423.6 	1.3e-130 	423.4	
STEVOR1.hmm 	PfGN01_140005700 	3.5e-10 	27.5 	1.6e-08 	22.0	
STEVOR1.hmm 	PfGN01_140005800 	1.4e-14 	42.0 	9.8e-10 	26.0	
RIFIN-A.hmm 	PfGN01_140005800 	2.7e-144 	468.8 	3e-144 	468.7	
RIFIN-B.hmm 	PfGN01_140005800 	6.5e-101 	325.9 	8.9e-53 	167.7	
RIFIN-A.hmm 	PfGN01_140005900 	2.2e-138 	449.4 	2.5e-138 	449.2	
STEVOR1.hmm 	PfGN01_140005900 	2.6e-08 	21.4 	2e-07 	18.5	
RIFIN-B.hmm 	PfGN01_140005900 	4.2e-110 	356.1 	9.6e-65 	207.0	
STEVOR1.hmm 	PfGN01_140006000 	1.5e-164 	534.4 	1.7e-164 	534.2	
RIFIN-A.hmm 	PfGN01_140006000 	1e-12 	36.1 	3.6e-10 	27.7	
RIFIN-B.hmm 	PfGN01_140006000 	6.2e-14 	40.1 	3.1e-11 	31.2	
RIFIN-B.hmm 	PfGN01_140084700 	1.5e-13 	38.8 	3.7e-10 	27.7	
STEVOR1.hmm 	PfGN01_140084700 	3.9e-166 	539.6 	4.8e-166 	539.4	
RIFIN-A.hmm 	PfGN01_140084700 	5.7e-14 	40.3 	1e-09 	26.2	
STEVOR1.hmm 	PfGN01_140084800 	1.7e-13 	38.4 	1.3e-08 	22.3	
RIFIN-B.hmm 	PfGN01_140084800 	2.9e-113 	366.5 	1e-63 	203.7	
RIFIN-A.hmm 	PfGN01_140084800 	4.2e-131 	425.4 	4.8e-131 	425.3	
STEVOR1.hmm 	PfGN01_140085100 	1.6e-10 	28.6 	1e-07 	19.4	
RIFIN-A.hmm 	PfGN01_140085100 	1.9e-104 	337.8 	4.8e-63 	201.6	
RIFIN-B.hmm 	PfGN01_140085100 	2.3e-149 	485.1 	2.6e-149 	484.9	
STEVOR1.hmm 	PfGN01_140085200 	1.3e-12 	35.5 	3.4e-09 	24.3	
RIFIN-A.hmm 	PfGN01_140085200 	3.5e-143 	465.2 	3.9e-143 	465.0	
RIFIN-B.hmm 	PfGN01_140085200 	7.4e-108 	348.7 	2.7e-58 	185.9	
STEVOR1.hmm 	PfGN01_140085300 	2.1e-11 	31.5 	2e-08 	21.8	
RIFIN-B.hmm 	PfGN01_140085300 	3.9e-105 	339.7 	3.3e-60 	192.1	
RIFIN-A.hmm 	PfGN01_140085300 	5.1e-152 	494.2 	5.8e-152 	494.0	
RIFIN-A.hmm 	PfGN01_140085500 	3.4e-154 	501.4 	3.9e-154 	501.2	
STEVOR1.hmm 	PfGN01_140085500 	7.1e-13 	36.3 	1.3e-08 	22.4	
RIFIN-B.hmm 	PfGN01_140085500 	7.4e-113 	365.1 	7.1e-67 	214.0	
