RIFIN-B.hmm 	PfGB4_000005300 	1.9e-07 	18.7 	3e-05 	11.5	
RIFIN-B.hmm 	PfGB4_140006200 	6.6e-109 	352.1 	3e-66 	212.0	
RIFIN-B.hmm 	PfGB4_140006300 	2e-108 	350.6 	1.6e-57 	183.3	
STEVOR1.hmm 	PfGB4_140006300 	3.4e-10 	27.5 	5.8e-08 	20.2	
RIFIN-A.hmm 	PfGB4_140006300 	7.1e-153 	497.0 	8e-153 	496.9	
STEVOR1.hmm 	PfGB4_140006400 	4.3e-10 	27.2 	7.5e-08 	19.8	
RIFIN-A.hmm 	PfGB4_140006400 	4.5e-124 	402.3 	5e-124 	402.2	
RIFIN-B.hmm 	PfGB4_140006400 	4.7e-95 	306.6 	5.3e-54 	171.7	
RIFIN-A.hmm 	PfGB4_140006500 	1.3e-95 	308.7 	1.4e-53 	170.6	
STEVOR1.hmm 	PfGB4_140006500 	4.7e-16 	46.8 	1.1e-10 	29.2	
RIFIN-B.hmm 	PfGB4_140006500 	4.9e-144 	467.6 	5.5e-144 	467.4	
RIFIN-A.hmm 	PfGB4_140006700 	2.2e-141 	459.2 	2.5e-141 	459.1	
STEVOR1.hmm 	PfGB4_140006700 	3.2e-14 	40.8 	1.2e-08 	22.4	
RIFIN-B.hmm 	PfGB4_140006700 	3.7e-104 	336.6 	3.9e-56 	178.8	
STEVOR1.hmm 	PfGB4_140006800 	1.5e-12 	35.3 	2.7e-09 	24.6	
RIFIN-B.hmm 	PfGB4_140006800 	3.8e-105 	339.8 	3.3e-58 	185.6	
RIFIN-A.hmm 	PfGB4_140006800 	5.4e-143 	464.5 	6.1e-143 	464.4	
RIFIN-A.hmm 	PfGB4_140006900 	2.1e-13 	38.4 	1e-09 	26.3	
RIFIN-B.hmm 	PfGB4_140006900 	4.6e-12 	33.9 	1e-11 	32.8	
STEVOR1.hmm 	PfGB4_140006900 	8.3e-167 	541.8 	9.3e-167 	541.7	
RIFIN-B.hmm 	PfGB4_140085000 	2.1e-141 	458.9 	2.4e-141 	458.8	
STEVOR1.hmm 	PfGB4_140085000 	3.3e-15 	44.0 	6.6e-10 	26.6	
RIFIN-A.hmm 	PfGB4_140085000 	3.6e-90 	290.8 	1.7e-51 	163.7	
RIFIN-B.hmm 	PfGB4_140085100 	1.7e-15 	45.2 	4.3e-11 	30.7	
STEVOR1.hmm 	PfGB4_140085100 	2.8e-168 	546.7 	3.2e-168 	546.5	
RIFIN-A.hmm 	PfGB4_140085100 	9.3e-13 	36.3 	1.7e-09 	25.5	
RIFIN-A.hmm 	PfGB4_140085300 	3.8e-157 	511.1 	4.3e-157 	510.9	
RIFIN-B.hmm 	PfGB4_140085300 	6.7e-109 	352.1 	2e-61 	196.1	
STEVOR1.hmm 	PfGB4_140085300 	7.7e-13 	36.2 	2e-09 	25.0	
