Unnamed: 0.1	Gene ID	Genome	Chromosome	Start Position	End Position	Product Description	Cluster	Occupancy	Genes in cluster	Number of genes unmapped	Percentage of genes unmapped	Location
255	PfGB4_000013600	GB4	PfGB4_00_33	57478	58543	rifin	PfGB4_000013600	1	PfGB4_000013600	1	100.0	Subtelomeric/Variable
256	PfGB4_000013700	GB4	PfGB4_00_33	60740	61883	rifin	PfGB4_000013700	1	PfGB4_000013700	1	100.0	Subtelomeric/Variable
257	PfGB4_000013800	GB4	PfGB4_00_33	65737	76830	erythrocyte membrane protein 1, PfEMP1	PfDd2_010005500	4	PfDd2_010005500, PfHB3_120045300, PfGB4_000013800, PfGA01_110054000	3	75.0	Subtelomeric/Variable
258	PfGB4_000014800	GB4	PfGB4_00_4	30832	31695	rifin	PfGB4_000014800	1	PfGB4_000014800	1	100.0	Subtelomeric/Variable
259	PfGB4_000015400	GB4	PfGB4_00_4	49944	51013	rifin	PfGB4_000015400	2	PfGB4_000015400, PfGN01_060038500	2	100.0	Subtelomeric/Variable
260	PfGB4_000015800	GB4	PfGB4_00_4	65808	66997	rifin	PfGB4_000015800	1	PfGB4_000015800	1	100.0	Subtelomeric/Variable
261	PfGB4_000015900	GB4	PfGB4_00_4	69841	78145	erythrocyte membrane protein 1, PfEMP1	PfGB4_000015900	1	PfGB4_000015900	1	100.0	Subtelomeric/Variable
262	PfGB4_000016000	GB4	PfGB4_00_4	80327	81612	rifin	PfGA01_050037400	2	PfGB4_000016000, PfGA01_050037400	1	50.0	Subtelomeric/Variable
263	PfGB4_000016600	GB4	PfGB4_00_5	17576	27679	erythrocyte membrane protein 1, PfEMP1	PfGB4_000016600	1	PfGB4_000016600	1	100.0	Subtelomeric/Variable
264	PfGB4_000017600	GB4	PfGB4_00_5	54326	55432	rifin	PfGB4_000017600	1	PfGB4_000017600	1	100.0	Subtelomeric/Variable
265	PfGB4_000018300	GB4	PfGB4_00_61	11819	21059	erythrocyte membrane protein 1, PfEMP1	PfGB4_000018300	1	PfGB4_000018300	1	100.0	Subtelomeric/Variable
266	PfGB4_000018400	GB4	PfGB4_00_61	22194	32258	erythrocyte membrane protein 1, PfEMP1	PfCD01_080005400	4	PfGB4_000018400, PfGA01_080036000, PfGN01_000022600, PfCD01_080005400	4	100.0	Subtelomeric/Variable
267	PfGB4_000018600	GB4	PfGB4_00_61	34631	44377	erythrocyte membrane protein 1, PfEMP1	PfGA01_140005500	2	PfGB4_000018600, PfGA01_140005500	1	50.0	Subtelomeric/Variable
268	PfGB4_010005500	GB4	PfGB4_01	34261	46380	erythrocyte membrane protein 1, PfEMP1	PfGB4_010005500	1	PfGB4_010005500	1	100.0	Subtelomeric/Variable
269	PfGB4_010019100	GB4	PfGB4_01	574981	584239	erythrocyte membrane protein 1, PfEMP1	PfGB4_010019100	1	PfGB4_010019100	1	100.0	Subtelomeric/Variable
270	PfGB4_010019300	GB4	PfGB4_01	589362	590593	rifin	PfGB4_010019300	1	PfGB4_010019300	1	100.0	Subtelomeric/Variable
271	PfGB4_030006100	GB4	PfGB4_03	55199	56376	rifin	PfGB4_030006100	1	PfGB4_030006100	1	100.0	Subtelomeric/Variable
272	PfGB4_030006400	GB4	PfGB4_03	64637	65842	rifin	PfGB4_030006400	2	PfGB4_030006400, PfKH01_130076500	1	50.0	Subtelomeric/Variable
273	PfGB4_030006600	GB4	PfGB4_03	71599	78596	erythrocyte membrane protein 1, PfEMP1	PfGB4_030006600	1	PfGB4_030006600	1	100.0	Subtelomeric/Variable
274	PfGB4_030030300	GB4	PfGB4_03	1024965	1026099	rifin	PfGB4_030030300	1	PfGB4_030030300	1	100.0	Subtelomeric/Variable
275	PfGB4_030030800	GB4	PfGB4_03	1036887	1045361	erythrocyte membrane protein 1, PfEMP1	PfGA01_100045500	3	PfGB4_030030800, PfGA01_100045500, PfSN01_060005100	2	66.66666666666666	Subtelomeric/Variable
276	PfGB4_040005800	GB4	PfGB4_04	43263	54386	erythrocyte membrane protein 1, PfEMP1	PfGB4_040005800	1	PfGB4_040005800	1	100.0	Subtelomeric/Variable
277	PfGB4_040006200	GB4	PfGB4_04	66801	76436	erythrocyte membrane protein 1, PfEMP1	PfGB4_040006200	1	PfGB4_040006200	1	100.0	Subtelomeric/Variable
278	PfGB4_040006400	GB4	PfGB4_04	82183	83386	rifin	PfCD01_040005900	3	PfGB4_040006400, PfCD01_040005900, PfSN01_040006000	3	100.0	Subtelomeric/Variable
279	PfGB4_040030200	GB4	PfGB4_04	1096732	1097330	hypothetical protein	PfDd2_040030400	7	PfDd2_040030400, PfHB3_120058300, PfIT_040030000, PfKH02_040030900, PfGB4_040030200, PfSN01_040030100, PfNF166_040031100	7	100.0	Subtelomeric/Variable
280	PfGB4_040030400	GB4	PfGB4_04	1102171	1103305	rifin	PfGB4_040030400	2	PfGB4_040030400, PfSN01_040030300	2	100.0	Subtelomeric/Variable
281	PfGB4_040030500	GB4	PfGB4_04	1105249	1106392	rifin	Pf7G8-2_000049300	9	Pf7G8_020005900, Pf7G8-2_000049300, PfGB4_040030500, PfKH01_020006500, PfGA01_000006100, PfGN01_020006600, PfCD01_020026800, PfSN01_070036300, PfNF166_020006200, PfNF166_020006400	4	44.44444444444444	Subtelomeric/Variable
282	PfGB4_040031000	GB4	PfGB4_04	1121257	1122374	rifin	PfGB4_040031000	1	PfGB4_040031000	1	100.0	Subtelomeric/Variable
283	PfGB4_040031300	GB4	PfGB4_04	1131659	1142665	erythrocyte membrane protein 1, PfEMP1	PfDd2_070005500	3	PfDd2_070005500, PfGB4_040031300, PfSN01_090005700	3	100.0	Subtelomeric/Variable
284	PfGB4_050005400	GB4	PfGB4_05	17646	27921	erythrocyte membrane protein 1, PfEMP1	PfGB4_050005400	2	PfKE01_080014300, PfGB4_050005400	2	100.0	Subtelomeric/Variable
285	PfGB4_050015800	GB4	PfGB4_05	439047	444032	phosphatidylinositol 4-kinase	PfGB4_050015800	1	PfGB4_050015800	1	100.0	Core
286	PfGB4_050039200	GB4	PfGB4_05	1391046	1398198	erythrocyte membrane protein 1, PfEMP1	PfGB4_050039200	1	PfGB4_050039200	1	100.0	Subtelomeric/Variable
287	PfGB4_060014500	GB4	PfGB4_06	392572	398642	conserved Plasmodium protein, unknown function	PfGB4_060014500	1	PfGB4_060014500	1	100.0	Core
288	PfGB4_060022100	GB4	PfGB4_06	700919	702206	rifin	Pf7G8-2_000170000:pseudogene	4	Pf7G8_060022600, PfIT_060021500, Pf7G8-2_000170000:pseudogene, PfGB4_060022100	1	25.0	Core
289	PfGB4_070006000	GB4	PfGB4_07	44446	54864	erythrocyte membrane protein 1, PfEMP1	PfGB4_070006000	1	PfGB4_070006000	1	100.0	Subtelomeric/Variable
290	PfGB4_070006100	GB4	PfGB4_07	57703	58889	rifin	PfGB4_070006100	1	PfGB4_070006100	1	100.0	Subtelomeric/Variable
291	PfGB4_070006700	GB4	PfGB4_07	76349	77452	rifin	PfGB4_070006700	1	PfGB4_070006700	1	100.0	Subtelomeric/Variable
292	PfGB4_070017900	GB4	PfGB4_07	582660	591729	erythrocyte membrane protein 1, PfEMP1	PfDd2_070016200	3	PfDd2_070016200, PfIT_070016900, PfGB4_070017900	3	100.0	Subtelomeric/Variable
293	PfGB4_070018100	GB4	PfGB4_07	604913	613926	erythrocyte membrane protein 1, PfEMP1	PfDd2_070016400	3	PfDd2_070016400, PfIT_070017100, PfGB4_070018100	3	100.0	Subtelomeric/Variable
294	PfGB4_080013400	GB4	PfGB4_08	381995	392067	erythrocyte membrane protein 1, PfEMP1	PfGA01_120024100	3	PfGB4_080013400, PfKH01_040026700, PfGA01_120024100	3	100.0	Subtelomeric/Variable
295	PfGB4_080013900	GB4	PfGB4_08	413702	420633	erythrocyte membrane protein 1, PfEMP1	PfGB4_080013900	1	PfGB4_080013900	1	100.0	Core
296	PfGB4_080037300	GB4	PfGB4_08	1364742	1375828	erythrocyte membrane protein 1 (PfEMP1), pseudogene	PfGB4_080037300	1	PfGB4_080037300	1	100.0	Subtelomeric/Variable
297	PfGB4_090006400	GB4	PfGB4_09	66267	67470	rifin	PfGB4_090006400	1	PfGB4_090006400	1	100.0	Subtelomeric/Variable
298	PfGB4_100040050	GB4	PfGB4_10	1378158	1380806	S-antigen	PfGB4_100040050	1	PfGB4_100040050	1	100.0	Core
299	PfGB4_110006800	GB4	PfGB4_11	64130	73425	erythrocyte membrane protein 1, PfEMP1	PfGB4_110006800	1	PfGB4_110006800	1	100.0	Subtelomeric/Variable
300	PfGB4_110006900	GB4	PfGB4_11	75366	85862	erythrocyte membrane protein 1, PfEMP1	PfGB4_110006900	2	PfGB4_110006900, PfGN01_140004000	2	100.0	Subtelomeric/Variable
301	PfGB4_110056500	GB4	PfGB4_11	2075393	2076531	rifin	PfCD01_020006300	3	PfGB4_110056500, PfGN01_020006300, PfGN01_020006400, PfCD01_020006300	1	33.33333333333333	Subtelomeric/Variable
302	PfGB4_110057200	GB4	PfGB4_11	2097597	2098866	rifin	PfGB4_110057200	1	PfGB4_110057200	1	100.0	Subtelomeric/Variable
303	PfGB4_110057300	GB4	PfGB4_11	2100736	2109432	erythrocyte membrane protein 1, PfEMP1	PfGB4_110057300	1	PfGB4_110057300	1	100.0	Subtelomeric/Variable
304	PfGB4_120028700	GB4	PfGB4_12	960000	961093	iron transporter, putative	PfGB4_120028700	1	PfGB4_120028700	1	100.0	Core
305	PfGB4_120028800	GB4	PfGB4_12	962275	963201	mitochondrial carrier protein, putative	PfGB4_120028800	1	PfGB4_120028800	1	100.0	Core
306	PfGB4_120028900	GB4	PfGB4_12	963707	964389	KOW motif containing protein, putative	PfGB4_120028900	1	PfGB4_120028900	1	100.0	Core
307	PfGB4_120029000	GB4	PfGB4_12	965405	966535	GTP cyclohydrolase I, putative	PfGB4_120029000	1	PfGB4_120029000	1	100.0	Core
308	PfGB4_120058800	GB4	PfGB4_12	2185291	2186268	Plasmodium RESA N-terminal, putative	Pf7G8_120059150	10	Pf7G8_120059150, PfHB3_120058250, PfIT_120058800, PfKH02_120058150, PfKE01_120058900, PfGB4_120058800, PfKH01_120059550, PfGA01_120058900, PfGN01_120059700, PfSN01_120058900	9	90.0	Core
309	PfGB4_130007900	GB4	PfGB4_13	125514	126548	hypothetical protein	PfDd2_130007800	11	PfDd2_130007800, Pf7G8_130006400, PfHB3_130008300, PfIT_130007200, PfKE01_130007600, PfGB4_130007900, PfKH01_130006200, PfGA01_130008000, PfGN01_130008700, PfCD01_130007500, PfSN01_130005000	11	100.0	Core
310	PfGB4_130069800	GB4	PfGB4_13	2573677	2574183	hypothetical protein	PfDd2_130069700	15	PfDd2_130069700, Pf7G8_130068400, PfHB3_130070300, PfIT_130069200, PfKH02_130066800, PfKE01_130069500, Pf7G8-2_000466300, PfGB4_130069800, PfKH01_130067900, PfGA01_130070000, PfGN01_130070600, PfCD01_130069500, PfSN01_130066900, PfNF166_130068800, PfNF54_130068500	15	100.0	Core
311	PfGB4_140006500	GB4	PfGB4_14	53530	54633	rifin	PfGB4_140006500	3	PfHB3_030028400, PfIT_140007000, PfGB4_140006500	1	33.33333333333333	Subtelomeric/Variable
312	PfGB4_140006700	GB4	PfGB4_14	59341	60612	rifin	PfGB4_140006700	1	PfGB4_140006700	1	100.0	Subtelomeric/Variable
313	PfGB4_140085400	GB4	PfGB4_14	3315136	3325902	erythrocyte membrane protein 1, PfEMP1	PfGB4_140085400	1	PfGB4_140085400	1	100.0	Subtelomeric/Variable
314	PfGN01_000021300	GN01	PfGN01_00_5	79	10832	erythrocyte membrane protein 1 (PfEMP1), pseudogene	PfGN01_000021300	1	PfGN01_000021300	1	100.0	Subtelomeric/Variable
315	PfGN01_000021400	GN01	PfGN01_00_5	13649	14727	rifin	PfGN01_000021400	1	PfGN01_000021400	1	100.0	Subtelomeric/Variable
316	PfGN01_000021800	GN01	PfGN01_00_6	77	462	Duffy binding domain containing protein, putative	PfGN01_000021800	1	PfGN01_000021800	1	100.0	Subtelomeric/Variable
317	PfGN01_000022300	GN01	PfGN01_00_6	29443	38215	erythrocyte membrane protein 1 (PfEMP1), pseudogene	PfGN01_000022300	1	PfGN01_000022300	1	100.0	Subtelomeric/Variable
318	PfGN01_000022600	GN01	PfGN01_00_6	39362	48702	erythrocyte membrane protein 1 (PfEMP1), pseudogene	PfCD01_080005400	4	PfGB4_000018400, PfGA01_080036000, PfGN01_000022600, PfCD01_080005400	4	100.0	Subtelomeric/Variable
319	PfGN01_000022700	GN01	PfGN01_00_7	285	7453	erythrocyte membrane protein 1 (PfEMP1), pseudogene	PfGN01_000022700	1	PfGN01_000022700	1	100.0	Subtelomeric/Variable
320	PfGN01_000023000	GN01	PfGN01_00_7	21012	27008	erythrocyte membrane protein 1 (PfEMP1), pseudogene	PfGN01_000023000	1	PfGN01_000023000	1	100.0	Subtelomeric/Variable
321	PfGN01_010005300	GN01	PfGN01_01	35711	36801	rifin	PfGB4_010019200	3	PfKE01_060038400, PfGB4_010019200, PfGN01_010005300	1	33.33333333333333	Subtelomeric/Variable
322	PfGN01_010005900	GN01	PfGN01_01	58722	59964	rifin	PfGN01_010005900	1	PfGN01_010005900	1	100.0	Subtelomeric/Variable
323	PfGN01_010006000	GN01	PfGN01_01	61886	63249	rifin	PfGN01_010006000	1	PfGN01_010006000	1	100.0	Subtelomeric/Variable
324	PfGN01_010006400	GN01	PfGN01_01	70926	71967	rifin	PfGN01_010006400	1	PfGN01_010006400	1	100.0	Subtelomeric/Variable
325	PfGN01_010019400	GN01	PfGN01_01	581463	582690	rifin	PfGN01_010019400	1	PfGN01_010019400	1	100.0	Subtelomeric/Variable
326	PfGN01_010019800	GN01	PfGN01_01	598253	610518	erythrocyte membrane protein 1, PfEMP1	PfGN01_010019800	1	PfGN01_010019800	1	100.0	Subtelomeric/Variable
327	PfGN01_010020000	GN01	PfGN01_01	615801	623406	erythrocyte membrane protein 1, PfEMP1	PfCD01_010006000	3	PfKE01_140084200, PfGN01_010020000, PfCD01_010006000	1	33.33333333333333	Subtelomeric/Variable
328	PfGN01_020005700	GN01	PfGN01_02	34439	35697	rifin	PfGN01_020005700	1	PfGN01_020005700	1	100.0	Subtelomeric/Variable
329	PfGN01_020005900	GN01	PfGN01_02	40763	49164	erythrocyte membrane protein 1, PfEMP1	PfCD01_070035800	4	PfHB3_000008700, PfKH01_040027700, PfGN01_020005900, PfCD01_070035800	3	75.0	Subtelomeric/Variable
330	PfGN01_020006600	GN01	PfGN01_02	70017	71207	rifin	Pf7G8-2_000049300	9	Pf7G8_020005900, Pf7G8-2_000049300, PfGB4_040030500, PfKH01_020006500, PfGA01_000006100, PfGN01_020006600, PfCD01_020026800, PfSN01_070036300, PfNF166_020006200, PfNF166_020006400	4	44.44444444444444	Subtelomeric/Variable
331	PfGN01_020027900	GN01	PfGN01_02	914287	922993	erythrocyte membrane protein 1, PfEMP1	PfGN01_020027900	1	PfGN01_020027900	1	100.0	Subtelomeric/Variable
332	PfGN01_020028200	GN01	PfGN01_02	931255	942153	erythrocyte membrane protein 1, PfEMP1	PfGN01_020028200	1	PfGN01_020028200	1	100.0	Subtelomeric/Variable
333	PfGN01_030005500	GN01	PfGN01_03	19071	28089	erythrocyte membrane protein 1, PfEMP1	PfGN01_030005500	1	PfGN01_030005500	1	100.0	Subtelomeric/Variable
334	PfGN01_030030100	GN01	PfGN01_03	1013067	1014307	rifin	PfCD01_030029900	3	PfIT_020026800, PfGN01_030030100, PfCD01_030029900	1	33.33333333333333	Subtelomeric/Variable
335	PfGN01_030030600	GN01	PfGN01_03	1034824	1036102	rifin	PfGN01_030030600	1	PfGN01_030030600	1	100.0	Subtelomeric/Variable
336	PfGN01_030030800	GN01	PfGN01_03	1042126	1053408	erythrocyte membrane protein 1, PfEMP1	PfDd2_080005500	2	PfDd2_080005500, PfGN01_030030800	2	100.0	Subtelomeric/Variable
337	PfGN01_040018100	GN01	PfGN01_04	541255	549567	erythrocyte membrane protein 1, PfEMP1	PfGN01_040018100	1	PfGN01_040018100	1	100.0	Subtelomeric/Variable
338	PfGN01_040026100	GN01	PfGN01_04	910119	919029	erythrocyte membrane protein 1, PfEMP1	PfDd2_040025900	3	PfDd2_040025900, PfHB3_040024700, PfGN01_040026100	2	66.66666666666666	Core
339	PfGN01_040026300	GN01	PfGN01_04	925827	936955	erythrocyte membrane protein 1, PfEMP1	PfGN01_040026300	1	PfGN01_040026300	1	100.0	Subtelomeric/Variable
340	PfGN01_040026400	GN01	PfGN01_04	938352	946381	erythrocyte membrane protein 1, PfEMP1	PfGN01_040026400	1	PfGN01_040026400	1	100.0	Subtelomeric/Variable
341	PfGN01_050005000	GN01	PfGN01_05	6556	7813	rifin	PfGN01_050005000	1	PfGN01_050005000	1	100.0	Subtelomeric/Variable
342	PfGN01_050005100	GN01	PfGN01_05	9916	11129	rifin	PfGN01_050005100	1	PfGN01_050005100	1	100.0	Subtelomeric/Variable
343	PfGN01_050005200	GN01	PfGN01_05	12610	19988	erythrocyte membrane protein 1, PfEMP1	PfGN01_050005200	1	PfGN01_050005200	1	100.0	Subtelomeric/Variable
344	PfGN01_050005700	GN01	PfGN01_05	34265	35398	rifin	Pf7G8-2_000120000:pseudogene	4	Pf7G8_050006100, PfIT_050006000, Pf7G8-2_000120000:pseudogene, PfGN01_050005700	3	75.0	Subtelomeric/Variable
345	PfGN01_050037800	GN01	PfGN01_05	1357251	1369575	erythrocyte membrane protein 1, PfEMP1	PfGN01_050037800	1	PfGN01_050037800	1	100.0	Subtelomeric/Variable
346	PfGN01_050037900	GN01	PfGN01_05	1370775	1378553	erythrocyte membrane protein 1, PfEMP1	PfGN01_050037900	1	PfGN01_050037900	1	100.0	Subtelomeric/Variable
347	PfGN01_060005800	GN01	PfGN01_06	31810	39278	erythrocyte membrane protein 1, PfEMP1	PfGN01_060005800	1	PfGN01_060005800	1	100.0	Subtelomeric/Variable
348	PfGN01_060005900	GN01	PfGN01_06	40404	49357	erythrocyte membrane protein 1, PfEMP1	PfGN01_060005900	2	PfKE01_050038100, PfGN01_060005900	2	100.0	Subtelomeric/Variable
349	PfGN01_060006100	GN01	PfGN01_06	51378	59686	erythrocyte membrane protein 1, PfEMP1	PfGN01_060006100	1	PfGN01_060006100	1	100.0	Subtelomeric/Variable
350	PfGN01_060023300	GN01	PfGN01_06	753643	762226	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000169900	7	Pf7G8_060022500, PfHB3_060021800, PfIT_060021400, PfKH02_060023700, Pf7G8-2_000169900, PfKH01_060024600, PfGN01_060023300	6	85.71428571428571	Core
351	PfGN01_060038000	GN01	PfGN01_06	1350566	1351809	rifin	PfGN01_060038000	1	PfGN01_060038000	1	100.0	Subtelomeric/Variable
352	PfGN01_060038400	GN01	PfGN01_06	1364708	1372739	erythrocyte membrane protein 1, PfEMP1	PfGN01_060038400	1	PfGN01_060038400	1	100.0	Subtelomeric/Variable
353	PfGN01_060038500	GN01	PfGN01_06	1374214	1375298	rifin	PfGB4_000015400	2	PfGB4_000015400, PfGN01_060038500	2	100.0	Subtelomeric/Variable
354	PfGN01_070017000	GN01	PfGN01_07	517231	526519	erythrocyte membrane protein 1, PfEMP1	PfGN01_070017000	1	PfGN01_070017000	1	100.0	Core
355	PfGN01_070017400	GN01	PfGN01_07	540515	548127	erythrocyte membrane protein 1, PfEMP1	PfGN01_070017400	1	PfGN01_070017400	1	100.0	Subtelomeric/Variable
356	PfGN01_080005700	GN01	PfGN01_08	38070	46386	erythrocyte membrane protein 1, PfEMP1	PfGN01_080005700	1	PfGN01_080005700	1	100.0	Subtelomeric/Variable
357	PfGN01_080014600	GN01	PfGN01_08	459811	466391	erythrocyte membrane protein 1, PfEMP1	PfGN01_080014600	1	PfGN01_080014600	1	100.0	Subtelomeric/Variable
358	PfGN01_080038100	GN01	PfGN01_08	1423209	1424503	rifin	PfGN01_080038100	1	PfGN01_080038100	1	100.0	Subtelomeric/Variable
359	PfGN01_090005800	GN01	PfGN01_09	33173	46056	erythrocyte membrane protein 1, PfEMP1	PfGN01_090005800	1	PfGN01_090005800	1	100.0	Subtelomeric/Variable
360	PfGN01_090042900	GN01	PfGN01_09	1483529	1494939	erythrocyte membrane protein 1, PfEMP1	PfGN01_090042900	1	PfGN01_090042900	1	100.0	Subtelomeric/Variable
361	PfGN01_090043000	GN01	PfGN01_09	1497132	1498495	rifin	PfGN01_090043000	1	PfGN01_090043000	1	100.0	Subtelomeric/Variable
362	PfGN01_090043100	GN01	PfGN01_09	1500316	1510562	erythrocyte membrane protein 1, PfEMP1	PfGN01_090043100	1	PfGN01_090043100	1	100.0	Subtelomeric/Variable
363	PfGN01_100005900	GN01	PfGN01_10	51560	62390	erythrocyte membrane protein 1, PfEMP1	PfGN01_100005900	2	PfKH02_030030200, PfGN01_100005900	1	50.0	Subtelomeric/Variable
364	PfGN01_100040600	GN01	PfGN01_10	1423009	1424844	S-antigen	PfGN01_100040600	2	PfKE01_100040400, PfGN01_100040600	2	100.0	Core
365	PfGN01_100045500	GN01	PfGN01_10	1654596	1655799	rifin	PfGN01_100045500	1	PfGN01_100045500	1	100.0	Subtelomeric/Variable
366	PfGN01_100045900	GN01	PfGN01_10	1669656	1681412	erythrocyte membrane protein 1, PfEMP1	PfGN01_100045900	1	PfGN01_100045900	1	100.0	Subtelomeric/Variable
367	PfGN01_110006200	GN01	PfGN01_11	41549	42801	rifin	PfGN01_110006200	1	PfGN01_110006200	1	100.0	Subtelomeric/Variable
368	PfGN01_110054500	GN01	PfGN01_11	1995765	2007332	erythrocyte membrane protein 1, PfEMP1	PfGN01_110054500	1	PfGN01_110054500	1	100.0	Subtelomeric/Variable
369	PfGN01_120007300	GN01	PfGN01_12	85398	95654	erythrocyte membrane protein 1, PfEMP1	PfGN01_120007300	1	PfGN01_120007300	1	100.0	Subtelomeric/Variable
370	PfGN01_120025500	GN01	PfGN01_12	806749	816840	erythrocyte membrane protein 1, PfEMP1	PfGN01_120025500	1	PfGN01_120025500	1	100.0	Core
371	PfGN01_120046300	GN01	PfGN01_12	1748191	1757798	erythrocyte membrane protein 1, PfEMP1	PfGN01_120046300	1	PfGN01_120046300	1	100.0	Subtelomeric/Variable
372	PfGN01_120047000	GN01	PfGN01_12	1776533	1781727	erythrocyte membrane protein 1, PfEMP1	PfGN01_120047000	1	PfGN01_120047000	1	100.0	Subtelomeric/Variable
373	PfGN01_120047100	GN01	PfGN01_12	1783133	1790697	erythrocyte membrane protein 1, PfEMP1	PfGA01_120046300	4	PfIT_120046200, PfKE01_120045700, PfKE01_120046100, PfGA01_120046300, PfGN01_120047100	1	25.0	Core
374	PfGN01_120059700	GN01	PfGN01_12	2233415	2234392	Plasmodium RESA N-terminal, putative	Pf7G8_120059150	10	Pf7G8_120059150, PfHB3_120058250, PfIT_120058800, PfKH02_120058150, PfKE01_120058900, PfGB4_120058800, PfKH01_120059550, PfGA01_120058900, PfGN01_120059700, PfSN01_120058900	9	90.0	Core
375	PfGN01_120061400	GN01	PfGN01_12	2290732	2291879	rifin	PfCD01_000007800	2	PfGN01_120061400, PfCD01_000007800	1	50.0	Subtelomeric/Variable
376	PfGN01_120061500	GN01	PfGN01_12	2295756	2305787	erythrocyte membrane protein 1, PfEMP1	PfGN01_120061500	1	PfGN01_120061500	1	100.0	Subtelomeric/Variable
377	PfGN01_130005700	GN01	PfGN01_13	44959	53786	erythrocyte membrane protein 1, PfEMP1	PfGN01_130005700	2	PfIT_120060300, PfGN01_130005700	2	100.0	Subtelomeric/Variable
378	PfGN01_130005800	GN01	PfGN01_13	57576	58708	rifin	PfGN01_130005800	1	PfGN01_130005800	1	100.0	Subtelomeric/Variable
379	PfGN01_130005900	GN01	PfGN01_13	60660	61809	rifin	PfGN01_130005900	1	PfGN01_130005900	1	100.0	Subtelomeric/Variable
380	PfGN01_130006500	GN01	PfGN01_13	80033	81177	rifin	PfGN01_130006500	3	PfIT_060036500, PfKH02_020005200, PfGN01_130006500	2	66.66666666666666	Subtelomeric/Variable
381	PfGN01_130008100	GN01	PfGN01_13	146786	153602	surface-associated interspersed protein	PfGA01_130007400	7	PfHB3_130007700, PfIT_130006700, PfKH02_000009900, PfGA01_130007400, PfGN01_130008100, PfSN01_000019600, PfNF166_130007200	7	100.0	Core
382	PfGN01_130008700	GN01	PfGN01_13	170217	171272	hypothetical protein	PfDd2_130007800	11	PfDd2_130007800, Pf7G8_130006400, PfHB3_130008300, PfIT_130007200, PfKE01_130007600, PfGB4_130007900, PfKH01_130006200, PfGA01_130008000, PfGN01_130008700, PfCD01_130007500, PfSN01_130005000	11	100.0	Core
383	PfGN01_130070600	GN01	PfGN01_13	2619684	2620190	hypothetical protein	PfDd2_130069700	15	PfDd2_130069700, Pf7G8_130068400, PfHB3_130070300, PfIT_130069200, PfKH02_130066800, PfKE01_130069500, Pf7G8-2_000466300, PfGB4_130069800, PfKH01_130067900, PfGA01_130070000, PfGN01_130070600, PfCD01_130069500, PfSN01_130066900, PfNF166_130068800, PfNF54_130068500	15	100.0	Core
384	PfGN01_130078600	GN01	PfGN01_13	2914995	2916427	rifin	PfGN01_130078600	1	PfGN01_130078600	1	100.0	Subtelomeric/Variable
385	PfGN01_130079200	GN01	PfGN01_13	2934361	2945065	erythrocyte membrane protein 1, PfEMP1	PfGN01_130079200	1	PfGN01_130079200	1	100.0	Subtelomeric/Variable
386	PfGN01_140004000	GN01	PfGN01_14	1605	8519	erythrocyte membrane protein 1, PfEMP1	PfGB4_110006900	2	PfGB4_110006900, PfGN01_140004000	2	100.0	Subtelomeric/Variable
387	PfGN01_140005100	GN01	PfGN01_14	15418	26963	erythrocyte membrane protein 1 (PfEMP1), pseudogene	PfGN01_140005100	1	PfGN01_140005100	1	100.0	Subtelomeric/Variable
388	PfGN01_140005400	GN01	PfGN01_14	37042	38361	rifin	PfGN01_140005400	1	PfGN01_140005400	1	100.0	Subtelomeric/Variable
389	PfGN01_140084600	GN01	PfGN01_14	3307191	3308285	rifin	Pf7G8-2_000036000	6	Pf7G8_010006100, PfHB3_010006100, Pf7G8-2_000036000, PfKH01_010007100, PfGN01_140084600, PfCD01_140084500	3	50.0	Subtelomeric/Variable
390	PfGN01_140084800	GN01	PfGN01_14	3313405	3314642	rifin	PfGN01_140084800	1	PfGN01_140084800	1	100.0	Subtelomeric/Variable
391	PfGN01_140085400	GN01	PfGN01_14	3341813	3353219	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000119400	5	Pf7G8_050005500, PfKE01_040005700, Pf7G8-2_000119400, PfGN01_140085400, PfCD01_130078400	1	20.0	Subtelomeric/Variable
392	PfGN01_140085600	GN01	PfGN01_14	3358677	3366149	erythrocyte membrane protein 1, PfEMP1	PfGN01_140085600	1	PfGN01_140085600	1	100.0	Subtelomeric/Variable
393	PfHB3_000006700	HB3	PfHB3_00_1	56022	57104	rifin	PfHB3_000006700	1	PfHB3_000006700	1	100.0	Subtelomeric/Variable
394	PfHB3_000008700	HB3	PfHB3_00_20	5043	15489	erythrocyte membrane protein 1, PfEMP1	PfCD01_070035800	4	PfHB3_000008700, PfKH01_040027700, PfGN01_020005900, PfCD01_070035800	3	75.0	Subtelomeric/Variable
395	PfHB3_000011350	HB3	PfHB3_00_8	79	8762	erythrocyte membrane protein 1, PfEMP1	PfHB3_000011350	1	PfHB3_000011350	1	100.0	Subtelomeric/Variable
396	PfHB3_010019000	HB3	PfHB3_01	538170	539422	rifin	PfGA01_010019300	6	PfHB3_010019000, PfKH01_010020200, PfGA01_010019300, PfGN01_010019200, PfSN01_000014000, PfNF166_000019500	4	66.66666666666666	Subtelomeric/Variable
397	PfHB3_010019300	HB3	PfHB3_01	547264	557438	erythrocyte membrane protein 1 (PfEMP1), pseudogene	PfHB3_010019300	1	PfHB3_010019300	1	100.0	Subtelomeric/Variable
