Gene ID	source_id	Genomic Location (Gene)	Product Description	Selected Samples that match	Sum of Unique Peptides (Within Samples)	Unique Peptides (Across Samples)
PF3D7_0926900	PF3D7_0926900.1	Pf3D7_09_v3:1,096,771..1,098,919(-)	replication termination factor, putative	3	11	7
PF3D7_0927000	PF3D7_0927000.1	Pf3D7_09_v3:1,098,803..1,100,298(+)	HSP90 co-chaperone p23	1	1	1
PF3D7_0927100	PF3D7_0927100.1	Pf3D7_09_v3:1,099,900..1,101,387(-)	conserved protein, unknown function	12	85	18
PF3D7_0927200	PF3D7_0927200.1	Pf3D7_09_v3:1,106,517..1,112,880(+)	gametocyte development protein GD1, putative	10	56	38
PF3D7_0927300	PF3D7_0927300.1	Pf3D7_09_v3:1,113,549..1,116,338(+)	fumarate hydratase	13	190	50
PF3D7_0927400	PF3D7_0927400.1	Pf3D7_09_v3:1,116,416..1,119,775(-)	conserved Plasmodium protein, unknown function	4	15	14
PF3D7_0927500	PF3D7_0927500.1	Pf3D7_09_v3:1,119,831..1,122,373(-)	dynein light chain, putative	4	9	3
PF3D7_0927600	PF3D7_0927600.1	Pf3D7_09_v3:1,122,096..1,125,906(+)	RNA-binding protein, putative	16	61	31
PF3D7_0927700	PF3D7_0927700.1	Pf3D7_09_v3:1,126,803..1,128,396(-)	serine/threonine protein phosphatase 4, putative	1	2	2
PF3D7_0927800	PF3D7_0927800.1	Pf3D7_09_v3:1,128,345..1,130,169(+)	cytochrome c oxidase subunit 5B, putative	9	37	11
PF3D7_0927900	PF3D7_0927900.1	Pf3D7_09_v3:1,130,507..1,134,907(-)	phosphatidylserine decarboxylase	15	69	26
PF3D7_0928000	PF3D7_0928000.1	Pf3D7_09_v3:1,134,936..1,136,835(+)	cytochrome c oxidase subunit 6B, putative	8	25	10
PF3D7_0928000	PF3D7_0928000.2	Pf3D7_09_v3:1,134,936..1,136,835(+)	cytochrome c oxidase subunit 6B, putative	2	5	4
PF3D7_0928100	PF3D7_0928100.1	Pf3D7_09_v3:1,136,403..1,138,628(-)	conserved Plasmodium protein, unknown function	7	39	18
PF3D7_0928200	PF3D7_0928200.1	Pf3D7_09_v3:1,139,049..1,142,891(-)	conserved Plasmodium protein, unknown function	1	1	1
PF3D7_0928300	PF3D7_0928300.1	Pf3D7_09_v3:1,142,674..1,144,994(+)	conserved Plasmodium protein, unknown function	1	2	1
PF3D7_0928500	PF3D7_0928500.1	Pf3D7_09_v3:1,145,092..1,147,569(-)	conserved Plasmodium protein, unknown function	2	2	2
PF3D7_0928600	PF3D7_0928600.1	Pf3D7_09_v3:1,147,690..1,149,688(-)	conserved Plasmodium protein, unknown function	3	3	1
PF3D7_0928700	PF3D7_0928700.1	Pf3D7_09_v3:1,149,710..1,155,532(-)	conserved Plasmodium protein, unknown function	4	7	5
PF3D7_0928800	PF3D7_0928800.1	Pf3D7_09_v3:1,155,523..1,159,304(+)	serine/threonine protein kinase, putative	1	1	1
PF3D7_0928900	PF3D7_0928900.1	Pf3D7_09_v3:1,159,487..1,160,762(+)	guanylate kinase	10	55	10
PF3D7_0929000	PF3D7_0929000.1	Pf3D7_09_v3:1,160,773..1,162,919(+)	transcription initiation factor TFIID subunit 7, putative	2	4	4
PF3D7_0929100	PF3D7_0929100.1	Pf3D7_09_v3:1,162,923..1,166,821(+)	conserved protein, unknown function	1	3	3
PF3D7_0929200	PF3D7_0929200.1	Pf3D7_09_v3:1,166,823..1,169,752(+)	RNA-binding protein, putative	27	176	29
PF3D7_0929400	PF3D7_0929400.1	Pf3D7_09_v3:1,173,579..1,181,380(+)	high molecular weight rhoptry protein 2	38	937	205
PF3D7_0929500	PF3D7_0929500.1	Pf3D7_09_v3:1,180,983..1,181,996(-)	CH domain-containing protein, putative	3	7	5
PF3D7_0929600	PF3D7_0929600.1	Pf3D7_09_v3:1,182,575..1,184,144(-)	G2 protein, putative	13	99	38
PF3D7_0929700	PF3D7_0929700.1	Pf3D7_09_v3:1,184,754..1,186,269(-)	conserved Plasmodium protein, unknown function	3	4	2
PF3D7_0929900	PF3D7_0929900.1	Pf3D7_09_v3:1,187,369..1,189,282(+)	conserved Plasmodium protein, unknown function	2	4	3
PF3D7_0930000	PF3D7_0930000.1	Pf3D7_09_v3:1,189,646..1,191,322(+)	procollagen lysine 5-dioxygenase, putative	2	3	3
PF3D7_0930200	PF3D7_0930200.1	Pf3D7_09_v3:1,195,511..1,200,623(-)	leucine-rich repeat protein	5	40	21
PF3D7_0930300	PF3D7_0930300.1	Pf3D7_09_v3:1,201,305..1,207,576(+)	merozoite surface protein 1	33	1021	336
PF3D7_0930400	PF3D7_0930400.1	Pf3D7_09_v3:1,207,579..1,212,987(+)	zinc finger protein, putative	4	4	4
PF3D7_0930400	PF3D7_0930400.2	Pf3D7_09_v3:1,207,579..1,212,987(+)	zinc finger protein, putative	4	4	4
PF3D7_0930500	PF3D7_0930500.1	Pf3D7_09_v3:1,211,597..1,217,273(-)	diacylglycerol kinase, putative	13	33	23
PF3D7_0930600	PF3D7_0930600.1	Pf3D7_09_v3:1,217,433..1,221,199(-)	peptidyl-prolyl cis-trans isomerase	5	10	8
PF3D7_0930800	PF3D7_0930800.1	Pf3D7_09_v3:1,224,476..1,239,586(+)	regulator of chromosome condensation, putative	9	28	22
PF3D7_0930900	PF3D7_0930900.1	Pf3D7_09_v3:1,246,725..1,248,266(-)	NifU-like protein, putative	5	14	7
PF3D7_0931000	PF3D7_0931000.1	Pf3D7_09_v3:1,248,274..1,252,765(-)	elongation factor Tu, putative	7	22	17
PF3D7_0931100	PF3D7_0931100.1	Pf3D7_09_v3:1,253,448..1,257,339(+)	nucleolar protein Nop52, putative	2	2	2
PF3D7_0931200	PF3D7_0931200.1	Pf3D7_09_v3:1,258,494..1,259,859(+)	selenoprotein 2	3	6	5
PF3D7_0931300	PF3D7_0931300.1	Pf3D7_09_v3:1,260,984..1,261,969(+)	conserved Plasmodium protein, unknown function	4	50	33
PF3D7_0931400	PF3D7_0931400.1	Pf3D7_09_v3:1,262,730..1,265,679(+)	PUB domain-containing protein, putative	21	85	28
PF3D7_0931600	PF3D7_0931600.1	Pf3D7_09_v3:1,268,277..1,269,415(+)	conserved protein, unknown function	4	25	11
PF3D7_0931700	PF3D7_0931700.1	Pf3D7_09_v3:1,270,155..1,272,656(+)	PIH1 domain-containing protein, putative	3	10	7
PF3D7_0931800	PF3D7_0931800.1	Pf3D7_09_v3:1,272,794..1,274,607(-)	proteasome subunit beta type-6, putative	20	149	31
PF3D7_0931900	PF3D7_0931900.1	Pf3D7_09_v3:1,274,656..1,277,085(-)	adenylate kinase-like protein 2	4	44	17
PF3D7_0932000	PF3D7_0932000.1	Pf3D7_09_v3:1,277,432..1,279,277(+)	conserved Plasmodium protein, unknown function	6	17	10
PF3D7_0932100	PF3D7_0932100.1	Pf3D7_09_v3:1,278,479..1,284,699(-)	protein MAM3, putative	13	28	21
PF3D7_0932200	PF3D7_0932200.1	Pf3D7_09_v3:1,286,481..1,289,644(+)	profilin	22	116	18
PF3D7_0932300	PF3D7_0932300.1	Pf3D7_09_v3:1,288,799..1,291,543(-)	M18 aspartyl aminopeptidase	25	239	47
PF3D7_0932600	PF3D7_0932600.1	Pf3D7_09_v3:1,297,285..1,298,239(-)	apicoplast ribosomal protein S6, putative	1	1	1
PF3D7_0932800	PF3D7_0932800.1	Pf3D7_09_v3:1,302,916..1,308,589(-)	importin alpha re-exporter, putative	23	293	63
PF3D7_0932900	PF3D7_0932900.1	Pf3D7_09_v3:1,309,010..1,310,544(-)	conserved Plasmodium protein, unknown function	3	6	4
PF3D7_0933000	PF3D7_0933000.1	Pf3D7_09_v3:1,310,704..1,314,101(+)	CSTF domain-containing protein, putative	9	19	15
PF3D7_0933100	PF3D7_0933100.1	Pf3D7_09_v3:1,314,184..1,317,597(+)	conserved Plasmodium protein, unknown function	1	1	1
PF3D7_0933200	PF3D7_0933200.1	Pf3D7_09_v3:1,317,759..1,319,756(-)	calcyclin-binding protein, putative	10	59	20
PF3D7_0933300	PF3D7_0933300.1	Pf3D7_09_v3:1,319,902..1,323,588(+)	conserved Plasmodium protein, unknown function	5	7	3
PF3D7_0933500	PF3D7_0933500.1	Pf3D7_09_v3:1,324,974..1,329,878(-)	gamma-tubulin complex component, putative	11	57	32
PF3D7_0933600	PF3D7_0933600.1	Pf3D7_09_v3:1,330,167..1,333,406(-)	mitochondrial-processing peptidase subunit beta, putative	16	163	37
PF3D7_0933700	PF3D7_0933700.1	Pf3D7_09_v3:1,334,102..1,335,151(-)	conserved Plasmodium protein, unknown function	2	2	1
PF3D7_0933800	PF3D7_0933800.1	Pf3D7_09_v3:1,335,740..1,337,947(+)	tubulin delta chain, putative	1	3	3
PF3D7_0933900	PF3D7_0933900.1	Pf3D7_09_v3:1,337,868..1,339,664(-)	Fip1 domain-containing protein, putative	5	5	4
PF3D7_0934000	PF3D7_0934000.1	Pf3D7_09_v3:1,339,791..1,342,470(-)	histidine--tRNA ligase, putative	1	2	2
PF3D7_0934100	PF3D7_0934100.1	Pf3D7_09_v3:1,342,715..1,346,826(+)	TFIIH basal transcription factor complex helicase XPD subunit	6	7	7
PF3D7_0934300	PF3D7_0934300.1	Pf3D7_09_v3:1,347,715..1,349,000(+)	ATP synthase-associated protein, putative	6	20	5
PF3D7_0934500	PF3D7_0934500.1	Pf3D7_09_v3:1,350,428..1,353,738(-)	V-type proton ATPase subunit E, putative	20	115	27
PF3D7_0934700	PF3D7_0934700.1	Pf3D7_09_v3:1,357,159..1,360,704(+)	UBX domain-containing protein, putative	11	28	16
PF3D7_0934800	PF3D7_0934800.1	Pf3D7_09_v3:1,360,721..1,364,051(+)	cAMP-dependent protein kinase catalytic subunit	20	147	30
PF3D7_0934900	PF3D7_0934900.1	Pf3D7_09_v3:1,364,066..1,366,174(-)	conserved Plasmodium protein, unknown function	2	3	3
PF3D7_0935000	PF3D7_0935000.1	Pf3D7_09_v3:1,366,182..1,367,150(-)	U2 small nuclear ribonucleoprotein B'', putative	16	48	10
PF3D7_0935200	PF3D7_0935200.1	Pf3D7_09_v3:1,368,257..1,372,877(-)	vacuolar protein sorting-associated protein 33, putative	8	18	12
PF3D7_0935400	PF3D7_0935400.1	Pf3D7_09_v3:1,377,653..1,381,134(+)	gametocyte development protein 1	1	1	1
PF3D7_0935500	PF3D7_0935500.1	Pf3D7_09_v3:1,399,892..1,402,702(+)	Plasmodium exported protein, unknown function	6	11	5
PF3D7_0935600	PF3D7_0935600.1	Pf3D7_09_v3:1,403,986..1,407,459(+)	gametocytogenesis-implicated protein	1	1	1
PF3D7_0935800	PF3D7_0935800.1	Pf3D7_09_v3:1,412,562..1,419,940(+)	cytoadherence linked asexual protein 9	17	120	64
PF3D7_0935900	PF3D7_0935900.1	Pf3D7_09_v3:1,419,960..1,424,840(-)	ring-exported protein 1	20	132	59
PF3D7_0936000	PF3D7_0936000.1	Pf3D7_09_v3:1,426,152..1,428,942(-)	ring-exported protein 2	14	19	5
PF3D7_0936100	PF3D7_0936100.1	Pf3D7_09_v3:1,429,554..1,431,890(-)	early transcribed membrane protein	1	1	1
PF3D7_0936300	PF3D7_0936300.1	Pf3D7_09_v3:1,435,767..1,439,273(-)	ring-exported protein 3	9	16	5
PF3D7_0936400	PF3D7_0936400.1	Pf3D7_09_v3:1,439,258..1,442,180(+)	ring-exported protein 4	1	2	2
PF3D7_0936600	PF3D7_0936600.1	Pf3D7_09_v3:1,445,945..1,448,525(+)	gametocyte exported protein 5	8	52	13
PF3D7_0936800	PF3D7_0936800.1	Pf3D7_09_v3:1,457,833..1,460,579(+)	Plasmodium exported protein (PHISTc), unknown function	20	136	45
PF3D7_0937000	PF3D7_0937000.1	Pf3D7_09_v3:1,465,306..1,467,827(+)	Plasmodium exported protein (PHISTb), unknown function	2	2	1
PF3D7_0937200	PF3D7_0937200.1	Pf3D7_09_v3:1,471,599..1,473,298(+)	lysophospholipase, putative	2	6	6
PF3D7_0937400	PF3D7_0937400.1	Pf3D7_09_v3:1,477,526..1,478,736(+)	rifin	1	1	1
PF3D7_0937600	PF3D7_0937600.1	Pf3D7_09_v3:1,486,070..1,490,187(+)	erythrocyte membrane protein 1, PfEMP1	1	2	2
PF3D7_0937800	PF3D7_0937800.1	Pf3D7_09_v3:1,495,579..1,503,336(-)	erythrocyte membrane protein 1, PfEMP1	3	5	5
PF3D7_1000100	PF3D7_1000100.1	Pf3D7_10_v3:28,490..36,164(+)	erythrocyte membrane protein 1, PfEMP1	1	1	1
PF3D7_1000500	PF3D7_1000500.1	Pf3D7_10_v3:48,052..49,384(-)	rifin	2	3	3
PF3D7_1001000	PF3D7_1001000.1	Pf3D7_10_v3:62,926..64,808(+)	chondroitin sulfate A ligand	7	12	10
PF3D7_1001100	PF3D7_1001100.1	Pf3D7_10_v3:66,845..69,602(-)	acyl-CoA binding protein, isoform 1, ACBP1	1	1	1
PF3D7_1001100	PF3D7_1001100.2	Pf3D7_10_v3:66,845..69,602(-)	acyl-CoA binding protein, isoform 1, ACBP1	1	1	1
PF3D7_1001200	PF3D7_1001200.1	Pf3D7_10_v3:69,800..71,269(-)	acyl-CoA binding protein, isoform 2, ACBP2	6	10	6
PF3D7_1001300	PF3D7_1001300.1	Pf3D7_10_v3:72,601..74,029(-)	Plasmodium exported protein (PHISTa), unknown function	1	1	1
PF3D7_1001400	PF3D7_1001400.1	Pf3D7_10_v3:74,612..78,819(-)	exported lipase 1	2	4	4
PF3D7_1001500	PF3D7_1001500.1	Pf3D7_10_v3:80,302..82,576(-)	early transcribed membrane protein 10.1	8	12	6
PF3D7_1001600	PF3D7_1001600.1	Pf3D7_10_v3:85,910..91,177(-)	exported lipase 2	10	72	35
PF3D7_1001700	PF3D7_1001700.1	Pf3D7_10_v3:92,437..94,615(-)	Plasmodium exported protein (PHISTc), unknown function	4	8	6
PF3D7_1001800	PF3D7_1001800.1	Pf3D7_10_v3:95,930..97,877(-)	Plasmodium exported protein (PHISTc), unknown function	4	7	5
PF3D7_1001900	PF3D7_1001900.1	Pf3D7_10_v3:99,001..100,443(-)	Plasmodium exported protein (hyp16), unknown function	5	15	9
PF3D7_1002000	PF3D7_1002000.1	Pf3D7_10_v3:102,837..105,100(-)	Plasmodium exported protein (hyp2), unknown function	3	7	6
PF3D7_1002100	PF3D7_1002100.1	Pf3D7_10_v3:106,648..109,855(-)	EMP1-trafficking protein	17	52	25
PF3D7_1002200	PF3D7_1002200.1	Pf3D7_10_v3:110,388..116,655(+)	tryptophan-rich antigen 3	5	5	4
PF3D7_1002400	PF3D7_1002400.1	Pf3D7_10_v3:120,336..125,104(+)	transformer-2 protein homolog beta, putative	33	96	24
PF3D7_1002400	PF3D7_1002400.2	Pf3D7_10_v3:120,336..125,104(+)	transformer-2 protein homolog beta, putative	27	70	18
PF3D7_1002700	PF3D7_1002700.1	Pf3D7_10_v3:128,151..132,481(+)	conserved Plasmodium protein, unknown function	11	46	30
PF3D7_1002800	PF3D7_1002800.1	Pf3D7_10_v3:132,914..138,022(+)	DnaJ protein, putative	5	9	9
PF3D7_1002900	PF3D7_1002900.1	Pf3D7_10_v3:138,050..140,161(+)	conserved Plasmodium protein, unknown function	20	74	19
PF3D7_1003000	PF3D7_1003000.1	Pf3D7_10_v3:141,402..147,095(+)	guanylate cyclase organizer UGO, putative	3	12	9
PF3D7_1003100	PF3D7_1003100.1	Pf3D7_10_v3:147,104..148,711(+)	respiratory chain complex 4 associated protein 3	5	13	5
PF3D7_1003300	PF3D7_1003300.1	Pf3D7_10_v3:150,176..151,598(-)	N-terminal acetyltransferase A complex catalytic subunit ARD1, putative	10	17	6
PF3D7_1003400	PF3D7_1003400.1	Pf3D7_10_v3:152,012..158,777(-)	conserved Plasmodium protein, unknown function	5	7	6
PF3D7_1003500	PF3D7_1003500.1	Pf3D7_10_v3:159,811..163,428(-)	40S ribosomal protein S20e, putative	29	80	16
PF3D7_1003600	PF3D7_1003600.1	Pf3D7_10_v3:164,213..166,726(+)	inner membrane complex protein 1c	27	188	61
PF3D7_1003700	PF3D7_1003700.1	Pf3D7_10_v3:166,171..171,640(-)	MKT1 domain-containing protein, putative	11	89	35
PF3D7_1003800	PF3D7_1003800.1	Pf3D7_10_v3:171,827..177,146(-)	U5 small nuclear ribonucleoprotein component, putative	20	168	45
PF3D7_1003900	PF3D7_1003900.1	Pf3D7_10_v3:177,921..178,870(+)	dynein attachment factor-domain containing protein, putative	1	2	2
PF3D7_1004000	PF3D7_1004000.1	Pf3D7_10_v3:179,019..180,699(-)	60S ribosomal protein L13, putative	31	156	29
PF3D7_1004200	PF3D7_1004200.1	Pf3D7_10_v3:187,192..196,990(-)	WD repeat-containing protein, putative	10	27	25
PF3D7_1004300	PF3D7_1004300.1	Pf3D7_10_v3:198,954..204,653(-)	RING finger E3 ubiquitin-protein ligase	20	83	46
PF3D7_1004400	PF3D7_1004400.1	Pf3D7_10_v3:206,616..210,233(-)	RNA-binding protein, putative	25	259	108
PF3D7_1004500	PF3D7_1004500.1	Pf3D7_10_v3:211,256..215,179(-)	apicomplexan kinetochore protein 2, putative	9	43	11
PF3D7_1004600	PF3D7_1004600.1	Pf3D7_10_v3:215,344..219,759(+)	conserved Plasmodium membrane protein, unknown function	1	1	1
PF3D7_1004700	PF3D7_1004700.1	Pf3D7_10_v3:219,826..221,789(-)	conserved protein, unknown function	1	1	1
PF3D7_1004800	PF3D7_1004800.1	Pf3D7_10_v3:221,826..223,568(+)	ADP,ATP carrier protein 2	1	1	1
PF3D7_1005100	PF3D7_1005100.1	Pf3D7_10_v3:228,405..232,553(+)	U3 small nucleolar RNA-associated protein 25, putative	4	8	6
PF3D7_1005300	PF3D7_1005300.1	Pf3D7_10_v3:233,285..234,473(-)	conserved Plasmodium protein, unknown function	3	7	5
PF3D7_1005500	PF3D7_1005500.1	Pf3D7_10_v3:236,121..242,888(-)	regulator of nonsense transcripts 1, putative	13	55	32
PF3D7_1005600	PF3D7_1005600.1	Pf3D7_10_v3:243,559..247,064(-)	DnaJ protein, putative	3	3	3
PF3D7_1006000	PF3D7_1006000.1	Pf3D7_10_v3:255,990..258,116(-)	IMP1-like protein, putative	10	77	32
PF3D7_1006100	PF3D7_1006100.1	Pf3D7_10_v3:258,913..261,461(-)	CCR4-NOT transcription complex subunit 5, putative	5	17	6
PF3D7_1006200	PF3D7_1006200.1	Pf3D7_10_v3:261,496..263,974(-)	DNA/RNA-binding protein Alba 3	41	264	26
PF3D7_1006600	PF3D7_1006600.1	Pf3D7_10_v3:272,223..273,497(-)	phosducin-like protein 3, putative	7	35	13
PF3D7_1006700	PF3D7_1006700.1	Pf3D7_10_v3:273,590..275,557(+)	conserved Plasmodium protein, unknown function	14	68	20
PF3D7_1006800	PF3D7_1006800.1	Pf3D7_10_v3:276,414..280,198(+)	G-strand-binding protein 2	40	194	34
PF3D7_1006900	PF3D7_1006900.1	Pf3D7_10_v3:281,002..283,515(+)	PPPDE peptidase, putative	4	7	5
PF3D7_1007000	PF3D7_1007000.1	Pf3D7_10_v3:283,801..286,957(+)	transmembrane protein 147, putative	11	18	8
PF3D7_1007100	PF3D7_1007100.1	Pf3D7_10_v3:286,522..287,473(-)	roadblock/LC7 domain-containing protein, putative	3	6	3
PF3D7_1007200	PF3D7_1007200.1	Pf3D7_10_v3:287,506..291,608(-)	rho GTPase-activating protein, putative	20	88	29
PF3D7_1007400	PF3D7_1007400.1	Pf3D7_10_v3:296,332..298,001(+)	conserved protein, unknown function	1	1	1
PF3D7_1007700	PF3D7_1007700.1	Pf3D7_10_v3:300,187..306,443(-)	AP2 domain transcription factor AP2-I	30	179	63
PF3D7_1007800	PF3D7_1007800.1	Pf3D7_10_v3:310,582..314,699(-)	conserved Plasmodium protein, unknown function	6	27	13
PF3D7_1007900	PF3D7_1007900.1	Pf3D7_10_v3:315,678..318,941(+)	eukaryotic translation initiation factor 3 subunit D, putative	34	270	56
PF3D7_1008000	PF3D7_1008000.1	Pf3D7_10_v3:320,042..328,566(+)	histone deacetylase 2	12	54	47
PF3D7_1008100	PF3D7_1008100.1	Pf3D7_10_v3:329,517..343,662(+)	PHD finger protein PHD1	25	167	134
PF3D7_1008200	PF3D7_1008200.1	Pf3D7_10_v3:343,267..344,912(-)	flap endonuclease, putative	1	1	1
PF3D7_1008400	PF3D7_1008400.1	Pf3D7_10_v3:346,376..349,197(-)	26S protease regulatory subunit 4, putative	21	190	38
PF3D7_1008500	PF3D7_1008500.1	Pf3D7_10_v3:349,785..355,986(+)	protein GPR89, putative	8	33	21
PF3D7_1008700	PF3D7_1008700.1	Pf3D7_10_v3:359,585..364,762(-)	tubulin beta chain	42	695	139
PF3D7_1008800	PF3D7_1008800.1	Pf3D7_10_v3:365,276..368,387(-)	nucleolar protein 5, putative	20	114	33
PF3D7_1008900	PF3D7_1008900.1	Pf3D7_10_v3:368,805..370,636(-)	adenylate kinase	28	278	49
PF3D7_1009000	PF3D7_1009000.1	Pf3D7_10_v3:370,903..372,283(+)	diphthine methyl ester synthase, putative	6	12	7
PF3D7_1009100	PF3D7_1009100.1	Pf3D7_10_v3:372,519..374,072(+)	conserved Plasmodium membrane protein, unknown function	1	1	1
PF3D7_1009200	PF3D7_1009200.1	Pf3D7_10_v3:374,378..377,772(+)	ribonuclease, putative	6	12	4
PF3D7_1009300	PF3D7_1009300.1	Pf3D7_10_v3:377,760..379,943(-)	AMP-binding protein, putative	1	1	1
PF3D7_1009400	PF3D7_1009400.1	Pf3D7_10_v3:381,136..382,816(+)	zinc finger protein, putative	4	6	6
PF3D7_1009600	PF3D7_1009600.1	Pf3D7_10_v3:386,757..388,733(+)	protein phosphatase PPM10, putative	1	1	1
PF3D7_1009800	PF3D7_1009800.1	Pf3D7_10_v3:393,189..398,429(-)	conserved Plasmodium membrane protein, unknown function	2	4	4
PF3D7_1009900	PF3D7_1009900.1	Pf3D7_10_v3:399,176..402,012(+)	heptatricopeptide repeat-containing protein, putative	1	1	1
PF3D7_1010100	PF3D7_1010100.1	Pf3D7_10_v3:403,619..404,723(+)	PI31 domain-containing protein, putative	9	36	11
PF3D7_1010200	PF3D7_1010200.1	Pf3D7_10_v3:404,903..411,445(-)	DNA2/NAM7 helicase, putative	13	27	21
PF3D7_1010300	PF3D7_1010300.1	Pf3D7_10_v3:412,469..415,659(+)	succinate dehydrogenase subunit 4, putative	19	37	10
PF3D7_1010400	PF3D7_1010400.1	Pf3D7_10_v3:415,404..417,471(-)	MORN repeat protein, putative	4	25	8
PF3D7_1010500	PF3D7_1010500.1	Pf3D7_10_v3:417,705..419,318(+)	ankyrin-repeat protein, putative	4	32	12
PF3D7_1010600	PF3D7_1010600.1	Pf3D7_10_v3:419,366..422,371(-)	eukaryotic translation initiation factor 2 subunit beta	27	118	26
PF3D7_1010700	PF3D7_1010700.1	Pf3D7_10_v3:422,698..424,573(+)	dolichyl-phosphate-mannose--protein mannosyltransferase, putative	26	130	22
PF3D7_1010800	PF3D7_1010800.1	Pf3D7_10_v3:424,586..426,140(-)	50S ribosomal protein L22, mitochondrial, putative	1	2	2
PF3D7_1010900	PF3D7_1010900.1	Pf3D7_10_v3:426,423..428,531(+)	conserved Plasmodium protein, unknown function	5	15	9
PF3D7_1011000	PF3D7_1011000.1	Pf3D7_10_v3:428,682..430,858(-)	inner membrane complex sub-compartment protein 1	13	126	36
PF3D7_1011200	PF3D7_1011200.1	Pf3D7_10_v3:436,924..437,944(+)	BET1-like protein, putative	8	14	9
PF3D7_1011300	PF3D7_1011300.1	Pf3D7_10_v3:438,247..440,791(+)	protein ARV1, putative	1	1	1
PF3D7_1011400	PF3D7_1011400.1	Pf3D7_10_v3:440,646..442,154(-)	proteasome subunit beta type-5	24	103	24
PF3D7_1011500	PF3D7_1011500.1	Pf3D7_10_v3:442,910..444,911(-)	conserved protein, unknown function	18	58	6
PF3D7_1011700	PF3D7_1011700.1	Pf3D7_10_v3:448,601..451,031(+)	DNA repair protein RAD23, putative	21	70	29
PF3D7_1011800	PF3D7_1011800.1	Pf3D7_10_v3:452,765..459,985(+)	PRE-binding protein	43	792	149
PF3D7_1012000	PF3D7_1012000.1	Pf3D7_10_v3:462,633..467,542(+)	RING zinc finger protein, putative	2	6	4
PF3D7_1012200	PF3D7_1012200.1	Pf3D7_10_v3:470,483..472,274(+)	rhoptry associated adhesin	9	36	14
PF3D7_1012300	PF3D7_1012300.1	Pf3D7_10_v3:472,319..474,109(-)	cytochrome b-c1 complex subunit 7, putative	11	59	16
PF3D7_1012400	PF3D7_1012400.1	Pf3D7_10_v3:474,731..477,029(-)	hypoxanthine-guanine phosphoribosyltransferase	30	314	68
PF3D7_1012500	PF3D7_1012500.1	Pf3D7_10_v3:477,806..481,170(-)	phosphoglucomutase, putative	19	190	43
PF3D7_1012600	PF3D7_1012600.1	Pf3D7_10_v3:481,939..484,906(-)	GMP synthase [glutamine-hydrolyzing]	18	196	39
PF3D7_1012700	PF3D7_1012700.1	Pf3D7_10_v3:485,372..491,888(+)	NLI interacting factor-like phosphatase, putative	15	54	38
PF3D7_1012900	PF3D7_1012900.1	Pf3D7_10_v3:495,293..499,172(-)	autophagy-related protein 18	17	117	23
PF3D7_1013000	PF3D7_1013000.1	Pf3D7_10_v3:499,604..502,530(+)	zinc finger protein, putative	1	1	1
PF3D7_1013100	PF3D7_1013100.1	Pf3D7_10_v3:502,323..508,664(-)	U3 small nucleolar RNA-associated protein 13, putative	2	5	5
PF3D7_1013200	PF3D7_1013200.1	Pf3D7_10_v3:509,224..515,598(+)	conserved Plasmodium protein, unknown function	10	29	25
PF3D7_1013300	PF3D7_1013300.1	Pf3D7_10_v3:515,235..518,137(-)	Nicalin domain-containing protein	22	181	39
PF3D7_1013400	PF3D7_1013400.1	Pf3D7_10_v3:518,542..522,542(-)	conserved Plasmodium protein, unknown function	2	13	11
PF3D7_1013500	PF3D7_1013500.1	Pf3D7_10_v3:526,794..531,607(+)	phosphoinositide-specific phospholipase C	7	21	19
PF3D7_1013600	PF3D7_1013600.1	Pf3D7_10_v3:532,203..540,273(+)	conserved Plasmodium protein, unknown function	11	32	25
PF3D7_1013700	PF3D7_1013700.1	Pf3D7_10_v3:540,590..541,993(+)	thioredoxin-like protein, putative	2	6	3
PF3D7_1013800	PF3D7_1013800.1	Pf3D7_10_v3:542,175..545,149(+)	conserved Plasmodium protein, unknown function	2	12	10
PF3D7_1013900	PF3D7_1013900.1	Pf3D7_10_v3:545,670..549,791(-)	translation initiation factor eIF-2B subunit delta, putative	6	15	12
PF3D7_1014000	PF3D7_1014000.1	Pf3D7_10_v3:550,352..553,031(-)	GDP-L-fucose synthase	5	18	9
PF3D7_1014100	PF3D7_1014100.1	Pf3D7_10_v3:554,233..560,227(+)	merozoite surface protein MSA180	9	27	21
PF3D7_1014200	PF3D7_1014200.1	Pf3D7_10_v3:560,538..563,353(+)	male gamete fusion factor HAP2	2	8	7
PF3D7_1014300	PF3D7_1014300.1	Pf3D7_10_v3:564,313..573,464(+)	SPRY domain-containing protein, putative	12	69	43
PF3D7_1014400	PF3D7_1014400.1	Pf3D7_10_v3:573,536..576,191(+)	MO15-related protein kinase	5	12	7
PF3D7_1014500	PF3D7_1014500.1	Pf3D7_10_v3:576,227..580,845(+)	conserved Plasmodium protein, unknown function	2	4	4
PF3D7_1014600	PF3D7_1014600.1	Pf3D7_10_v3:580,588..591,074(-)	transcriptional coactivator ADA2	26	142	93
PF3D7_1014700	PF3D7_1014700.1	Pf3D7_10_v3:594,862..596,440(+)	prohibitin 2	15	123	24
PF3D7_1014800	PF3D7_1014800.1	Pf3D7_10_v3:596,497..600,413(-)	EF hand domain-containing protein, putative	4	22	19
PF3D7_1014900	PF3D7_1014900.1	Pf3D7_10_v3:600,950..608,809(-)	protein KIC8	14	145	106
